ID,LastName,FirstName,Pos,CapHit
8480049,Samberg,Dylan,D,5750000.0
8476897,Sundqvist,Oskar,C,1500000.0
8476372,Seeler,Nick,D,2700000.0
8475188,McNabb,Brayden,D,3650000.0
8476441,Edmundson,Joel,D,3850000.0
8476463,Brodin,Jonas,D,6000000.0
8481014,Romanov,Alexander,D,6250000.0
8480860,Bahl,Kevin,D,5350000.0
8481481,Lizotte,Blake,C,1850000.0
8482142,Drysdale,Jamie,D,2300000.0
8482201,Goncalves,Gage,C,1200000.0
8482803,Zellweger,Olen,D,844167.0
8480246,Perbix,Nicklaus,D,2750000
8480995,Holmberg,Pontus,R,1550000.0
8480448,Kelly,Parker,C,825000.0
8481592,Pelletier,Jakob,L,775000.0
8482659,Doan,Josh,R,925000.0
8482929,Lilleberg,Emil,D,800000.0
8483490,Mintyukov,Pavel,D,918333.0
8475760,Bjugstad,Nick,C,1750000.0
8476473,Murphy,Connor,D,4400000.0
8476432,Jenner,Boone,C,3750000.0
8477220,Schmidt,Nate,D,3500000.0
8477499,Ristolainen,Rasmus,D,5100000.0
8477380,Brodzinski,Jonny,C,787500.0
8478904,Lorentz,Steven,C,1350000.0
8479619,Carcone,Michael,L,775000.0
8484540,Smith,Craig,D,0.0
8475690,Tanev,Christopher,D,
8476979,Gustafsson,Erik,D,2000000.0
8477406,Janmark,Mattias,C,1450000.0
8478474,Crouse,Lawson,L,4300000.0
8478970,Chatfield,Jalen,D,3000000.0
8479316,Kunin,Luke,C,775000.0
8480281,Toropchenko,Alexei,R,
8480835,Drury,Jack,C,1725000.0
8481711,Maccelli,Matias,L,3425000.0
8482070,Chaffee,Mitchell,R,800000.0
8482087,Guhle,Kaiden,D,5550000.0
8482476,Heineman,Emil,L,1100000.0
8484304,Balinskis,Uvis,D,850000.0
8479983,Ferraro,Mario,D,3250000.0
8480192,Kovacevic,Johnathan,D,4000000.0
8481043,Koepke,Cole,L,1000000.0
8476278,Blackwell,Colin,C,775000.0
8481546,York,Cameron,D,5150000
8482768,Svechkov,Fyodor,C,925000
8474563,Doughty,Drew,D,11000000.0
8474013,Cole,Ian,D,2800000.0
8475231,Cizikas,Casey,C,2500000.0
8476467,Oleksiak,Jamie,D,4600000.0
8476374,Kuraly,Sean,C,1850000.0
8476873,Jankowski,Mark,C,800000.0
8477488,Pesce,Brett,D,5500000.0
8478421,Greer,A.J.,L,850000
8479369,Peeke,Andrew,D,2750000.0
